ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
419164,Deccan Chargers,1,82,10,-0.8
501269,Kolkata Knight Riders,1,147,7,53.2
548309,Rajasthan Royals,1,191,4,94.6
501249,Rajasthan Royals,2,133,10,29.8
501199,Rajasthan Royals,2,141,2,74.6
598068,Royal Challengers Bangalore,1,106,2,53.6
548326,Rajasthan Royals,2,197,5,93.2
598054,Royal Challengers Bangalore,1,183,4,89.8
548372,Royal Challengers Bangalore,1,215,1,124.0
548372,Delhi Daredevils,2,194,9,71.4
501209,Kolkata Knight Riders,2,160,1,91.0
598002,Mumbai Indians,1,148,6,58.8
548306,Mumbai Indians,2,115,3,54.0
419146,Mumbai Indians,1,154,9,47.4
419121,Kings XI Punjab,2,10,1,1.0
548347,Chennai Super Kings,1,139,5,58.4
598011,Mumbai Indians,1,183,3,94.8
548311,Chennai Super Kings,1,193,6,85.8
1136604,Kolkata Knight Riders,1,245,6,117.0
1082592,Mumbai Indians,1,184,8,70.4
1136597,Mumbai Indians,1,181,4,88.6
1136615,Mumbai Indians,2,163,10,47.8
1082596,Gujarat Lions,1,135,7,46.0
1175366,Sunrisers Hyderabad,1,231,2,128.6
598004,Sunrisers Hyderabad,2,150,7,55.0
598058,Chennai Super Kings,1,141,4,64.6
419149,Delhi Daredevils,1,111,10,16.6
419115,Rajasthan Royals,1,92,10,5.2
419115,Royal Challengers Bangalore,2,93,0,55.8
501252,Rajasthan Royals,1,146,6,57.6
501266,Chennai Super Kings,1,128,8,36.8
419128,Royal Challengers Bangalore,2,166,9,54.6
419133,Chennai Super Kings,2,162,5,72.2
501213,Delhi Daredevils,2,190,7,79.0
548327,Royal Challengers Bangalore,2,186,4,91.6
548312,Rajasthan Royals,1,164,5,73.4
419129,Chennai Super Kings,2,160,6,66.0
548318,Royal Challengers Bangalore,1,205,8,83.0
548370,Mumbai Indians,2,108,10,14.8
501240,Chennai Super Kings,2,149,2,79.4
419106,Kolkata Knight Riders,1,161,4,76.6
419162,Royal Challengers Bangalore,2,149,9,44.4
501269,Mumbai Indians,2,148,6,58.8
548320,Rajasthan Royals,1,131,5,53.6
548320,Kolkata Knight Riders,2,137,5,57.2
501243,Delhi Daredevils,2,179,6,77.4
548374,Kings XI Punjab,1,141,8,44.6
